player,nba_id,team_id,team,DRAFT_YEAR,DRAFT_NUMBER
Miller Leonard,1631159,1610612750,MIN,2023.0,33.0
Mills Patty,201988,1610612762,UTA,2009.0,55.0
Milton Shake,1629003,1610612751,BKN,2018.0,54.0
Minaya Justin,1631303,1610612757,POR,,
Minix Riley,1642434,1610612759,SAS,,
Minott Josh,1631169,1610612750,MIN,2022.0,45.0
Mintz Judah,1641758,1610612755,PHI,,
Missi Yves,1642274,1610612740,NOP,2024.0,21.0
Mitchell Ajay,1642349,1610612760,OKC,2024.0,38.0
Mitchell Davion,1630558,1610612761,TOR,2021.0,9.0
Mitchell Donovan,1628378,1610612739,CLE,2017.0,13.0
Mobley Evan,1630596,1610612739,CLE,2021.0,3.0
Mobley Isaiah,1630600,1610612739,CLE,2022.0,49.0
Mogbo Jonathan,1642367,1610612761,TOR,2024.0,31.0
Monk Malik,1628370,1610612758,SAC,2017.0,11.0
Moody Moses,1630541,1610612744,GSW,2021.0,14.0
Moore Taze,1631386,1610612757,POR,,
Moore Jr. Wendell,1631111,1610612765,DET,2022.0,26.0
Morant Ja,1629630,1610612763,MEM,2019.0,2.0
Morris Markieff,202693,1610612742,DAL,2011.0,13.0
Morris Monte,1628420,1610612756,PHX,2017.0,51.0
Morris Sr. Marcus,202694,1610612739,CLE,2011.0,14.0
Murphy III Trey,1630530,1610612740,NOP,2021.0,17.0
Murray Dejounte,1627749,1610612740,NOP,2016.0,29.0
Murray Jamal,1627750,1610612743,DEN,2016.0,7.0
Murray Keegan,1631099,1610612758,SAC,2022.0,4.0
Murray Kris,1631200,1610612757,POR,2023.0,23.0
Mykhailiuk Svi,1629004,1610612762,UTA,2018.0,47.0
Nance Pete,1631250,1610612739,CLE,,
Nance Jr. Larry,1626204,1610612737,ATL,2015.0,27.0
Nembhard Andrew,1629614,1610612754,IND,2022.0,31.0
Nesmith Aaron,1630174,1610612754,IND,2020.0,14.0
Newton Tristen,1641803,1610612754,IND,2024.0,49.0
Niang Georges,1627777,1610612739,CLE,2016.0,50.0
Nix Daishen,1630227,1610612750,MIN,,
Nnaji Zeke,1630192,1610612743,DEN,2020.0,22.0
Nunez Juan,1642361,1610612759,SAS,2024.0,36.0
Nurkic Jusuf,203994,1610612756,PHX,2014.0,16.0
Nwora Jordan,1629670,1610612761,TOR,2020.0,45.0
O'Neale Royce,1626220,1610612756,PHX,,
Okeke Chuma,1629643,1610612752,NYK,2019.0,16.0
Okogie Josh,1629006,1610612756,PHX,2018.0,20.0
Okongwu Onyeka,1630168,1610612737,ATL,2020.0,6.0
Okoro Isaac,1630171,1610612739,CLE,2020.0,5.0
Olivari Quincy,1642439,1610612747,LAL,,
Olynyk Kelly,203482,1610612761,TOR,2013.0,13.0
Oni Miye,1629671,1610612763,MEM,2019.0,58.0
Oubre Jr. Kelly,1626162,1610612755,PHI,2015.0,15.0
Pasecniks Anzejs,1628394,1610612749,MIL,2017.0,25.0
Paul Chris,101108,1610612759,SAS,2005.0,4.0
Payne Cameron,1626166,1610612752,NYK,2015.0,14.0
Payton II Gary,1627780,1610612744,GSW,,
Pereira Maozinha,1641970,1610612763,MEM,,
Peterson Drew,1641809,1610612738,BOS,,
Phillips Julian,1641763,1610612741,CHI,2023.0,35.0
Pickett Jalen,1629618,1610612743,DEN,2023.0,32.0
Pippen Jr. Scotty,1630590,1610612763,MEM,,
Plowden Daeqwon,1631342,1610612744,GSW,,
Plumlee Mason,203486,1610612756,PHX,2013.0,22.0
Podziemski Brandin,1641764,1610612744,GSW,2023.0,19.0
Poeltl Jakob,1627751,1610612761,TOR,2016.0,9.0
Poole Jordan,1629673,1610612764,WAS,2019.0,28.0
Porter Jr. Craig,1641854,1610612739,CLE,,
Porter Jr. Kevin,1629645,1610612746,LAC,2019.0,30.0
Porter Jr. Michael,1629008,1610612743,DEN,2018.0,14.0
Portis Bobby,1626171,1610612749,MIL,2015.0,22.0
Porzingis Kristaps,204001,1610612738,BOS,2015.0,4.0
Post Quinten,1642366,1610612744,GSW,2024.0,52.0
Potter Micah,1630695,1610612762,UTA,,
Powell Dwight,203939,1610612742,DAL,2014.0,45.0
Powell Norman,1626181,1610612746,LAC,2015.0,46.0
Preston Jason,1630554,1610612762,UTA,2021.0,33.0
Prince Taurean,1627752,1610612749,MIL,2016.0,12.0
Pritchard Payton,1630202,1610612738,BOS,2020.0,26.0
Prosper Olivier-Maxence,1641765,1610612742,DAL,2023.0,24.0
Pullin Zyon,1642389,1610612748,MIA,,
Queen Trevelin,1630243,1610612753,ORL,,
Queta Neemias,1629674,1610612738,BOS,2021.0,39.0
Quickley Immanuel,1630193,1610612761,TOR,2020.0,25.0
Quinones Lester,1631311,1610612744,GSW,,
Randle Julius,203944,1610612752,NYK,2014.0,7.0
Reath Duop,1641871,1610612757,POR,,
Reaves Austin,1630559,1610612747,LAL,,
Reddish Cam,1629629,1610612747,LAL,2019.0,10.0
Reed Paul,1630194,1610612765,DET,2020.0,58.0
Reeves Antonio,1641810,1610612740,NOP,2024.0,47.0
Reid Naz,1629675,1610612750,MIN,,
Rhoden Jared,1631197,1610612761,TOR,,
Richards Nick,1630208,1610612766,CHA,2020.0,42.0
Richardson Josh,1626196,1610612748,MIA,2015.0,40.0
Risacher Zaccharie,1642258,1610612737,ATL,2024.0,1.0
Robbins Liam,1641857,1610612749,MIL,,
Robinson Duncan,1629130,1610612748,MIA,,
Robinson Jerome,1629010,1610612744,GSW,2018.0,13.0
Robinson Mitchell,1629011,1610612752,NYK,2018.0,36.0
Robinson Orlando,1631115,1610612758,SAC,,
Robinson-Earl Jeremiah,1630526,1610612740,NOP,2021.0,32.0
Roddy David,1631223,1610612737,ATL,2022.0,23.0
Rollins Ryan,1631157,1610612749,MIL,2022.0,44.0
Rose Derrick,201565,1610612763,MEM,2008.0,1.0
Rowe Jackson,1642050,1610612744,GSW,,
Rozier Terry,1626179,1610612748,MIA,2015.0,16.0
Rupert Rayan,1641712,1610612757,POR,2023.0,43.0
Russell D'Angelo,1626156,1610612747,LAL,2015.0,2.0
Ryan Matt,1630346,1610612740,NOP,,
Sabonis Domantas,1627734,1610612758,SAC,2016.0,11.0
Salaun Tidjane,1642275,1610612766,CHA,2024.0,6.0
Samuels Jr. Jermaine,1631257,1610612745,HOU,,
Sane Babacar,1641526,1610612762,UTA,,
Sanogo Adama,1641766,1610612741,CHI,,
Santos Gui,1630611,1610612744,GSW,2022.0,55.0
Saric Dario,203967,1610612743,DEN,2014.0,12.0
Sarr Alexandre,1642259,1610612764,WAS,2024.0,2.0
Sasser Marcus,1631204,1610612765,DET,2023.0,25.0
Scheierman Baylor,1631248,1610612738,BOS,2024.0,30.0
Schroder Dennis,203471,1610612751,BKN,2013.0,17.0
Scott Trevon,1630286,1610612753,ORL,,
Seabron Dereon,1631220,1610612740,NOP,,
Sengun Alperen,1630578,1610612745,HOU,2021.0,16.0
Sensabaugh Brice,1641729,1610612762,UTA,2023.0,28.0
Sexton Collin,1629012,1610612762,UTA,2018.0,8.0
Shamet Landry,1629013,1610612752,NYK,2018.0,26.0
Shannon Jr. Terrence,1630545,1610612750,MIN,2024.0,27.0
Sharp Jamarion,1642481,1610612742,DAL,,
Sharpe Day'Ron,1630549,1610612751,BKN,2021.0,29.0
Sharpe Shaedon,1631101,1610612757,POR,2022.0,7.0
Shead Jamal,1642347,1610612761,TOR,2024.0,45.0
Sheppard Ben,1641767,1610612754,IND,2023.0,26.0
Sheppard Reed,1642263,1610612745,HOU,2024.0,3.0
Siakam Pascal,1627783,1610612754,IND,2016.0,27.0
Simmons Ben,1627732,1610612751,BKN,2016.0,1.0
Simons Anfernee,1629014,1610612757,POR,2018.0,24.0
Simpson K.J.,1642354,1610612766,CHA,2024.0,42.0
Sims Jericho,1630579,1610612752,NYK,2021.0,58.0
Slawson Jalen,1641771,1610612753,ORL,2023.0,54.0
Smart Marcus,203935,1610612763,MEM,2014.0,6.0
Smith Dru,1630696,1610612748,MIA,,
Smith Jalen,1630188,1610612741,CHI,2020.0,10.0
